Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,CCAA
29-Jul-16,2016,Unprovoked,SPAIN,Alicante,Swimming,M,Lacerations to right hand,N,Blue shark,Valencia
Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,Canary Islands
25-Dec-15,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,Lacerations to left forearm,N,"Silky shark, 6.5'",Canary Islands
18-Aug-15,2015,Invalid,SPAIN,Alicante,Swimming,M,Minor injury when he attempted to touch a fish. ,N,Shark involvement not confirmed,Valencia
Reported 03-Dec-2014,2014,Provoked,SPAIN,Granada,Fishing for blue sharks,M,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,,Andalucia
Sep-14,2014,Unprovoked,SPAIN,Catalonia,Playing with an air mattress,M,Lacerations to right hand,N,,Catalunya
27-Aug-14,2014,Unprovoked,SPAIN,Alicante,Swimming,F,Minor lacerations to posterior lower leg,N,small shark,Valencia
20-Jul-14,2014,Unprovoked,SPAIN,Canary Islands,Wading,,Minor injury,N,Angel shark,Canary Islands
07-Jul-13,2013,Invalid,SPAIN,Catalonia,Swimming,M,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",N,Shark involvement not confirmed,Catalunya
16-Jul-10,2010,Provoked,SPAIN,Grand Canary Island,Swimming,M,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,Angel shark,Canary Islands
24-Jul-09,2009,Invalid,SPAIN,Catalunya,Swimming,F,Laceration to left foot,N,Shark involvement questionable,Catalunya
13-Jul-06,2006,Invalid,SPAIN,Alicante,Swimming,F,Hand & wrist severely bitten,N,"Shark involvement not confirmed, injury may have been caused by a bluefish",Valencia
03-Sep-93,1993,Unprovoked,SPAIN,Costa Blanca,Swimming,M,"Thigh bitten, toes of left foot severed",N,1.2 m [4'] shark,Valencia
Apr-86,1986,Unprovoked,SPAIN,Catalonia,Diving,M,Abrasions,N,2 m shark,Catalunya
18-Mar-86,1986,Unprovoked,SPAIN,Cadiz,Windsurfing,M,Foot severed,N,3.5 m white shark,Andalucia
26-Jul-80,1980,Unprovoked,SPAIN,Canary Islands,Skin diving,M,Thigh injured,N,Blue shark,Canary Islands
Late 1970s,1970,Unprovoked,SPAIN,Canary Islands,Spearfishing,M,Minor injury,N,Blue shark,Canary Islands
1962,1962,Unprovoked,SPAIN,Catalonia,Dangling feet in the water,F,Feet severed,N,,Catalunya
16-Aug-30,1930,Unprovoked,SPAIN,Canary Islands,Swimming,M,Leg bitten,N,,Canary Islands
02-Oct-29,1929,Unprovoked,SPAIN,Valencia,Fishing,M,Arm injured when sharks rammed his boat,N,,Valencia
03-Jul-26,1926,Invalid,SPAIN,Sants-Montjic,Bathing,M,No injury,N,2m shark,Catalunya
04-Sep-25,1925,Provoked,SPAIN,Valencia,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,Valencia
24-Mar-24,1924,Boating,SPAIN,Galicia,Fishing,,"No injury to occupants, shark bit boat",N,3.5 m shark,Galicia
08-Jul-16,1916,Unprovoked,SPAIN,Gran Canaria,Diving,M,Survived,N,,Canary Islands
1912,1912,Unprovoked,SPAIN,Balearics,Fell into the water,M,FATAL,Y,White shark,Balearics Islands
Reported 31-Jul-1911,1911,Unprovoked,SPAIN,Malaga,Bathing,M,FATAL,Y,,Andalucia
Reported 27-Apr-1909,1909,Provoked,SPAIN,Andalucia,Fishing,M,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,N,,Andalucia
Reported 28-Aug-1908,1908,Unprovoked,SPAIN,Galicia,Fell overboard from P&O steamship Arabia,M,FATAL,Y,,Galicia
Reported 18-Jul-1908,1908,Invalid,SPAIN,Canary Islands,,,Human remains recovered but shark involvement prior to death unconfirmed ,Y,,Canary Islands
 22-Sep-1879,1879,Provoked,SPAIN,Valencia,Fishing,,"No injuries to occupants, Hooked shark bit boat  PROVOKED INCIDENT",N,2.5 m shark,Valencia
25-Jul-1864,1864,Unprovoked,SPAIN,Eastern Catalona,Bathing,M,FATAL,Y,,Catalunya
Reported 15-Aug-1862,1862,Unprovoked,SPAIN,,Bathing,F,Survived,N,,
Reported 02-Aug-1862,1862,Invalid,SPAIN,Malaga,,M,Possible drowning and scavenging,Y,,Andalucia
25-Jul-1862,1862,Unprovoked,SPAIN,Malaga,Swimming,M,FATAL,Y,,Andalucia
14-Jul-1862,1862,Unprovoked,SPAIN,Cadiz,,M,FATAL,Y,16' shark,Andalucia
13-Jul-1862,1862,Unprovoked,SPAIN,Cadiz,Swimming alongside the SS Kearsarge,M,FATAL,Y,16' shark,Andalucia
1836.07.26.R,1836,Invalid,SPAIN,,,,"Shark caught, contained human remains",Y,,
Reported 08-Jul-1819,1819,Invalid,SPAIN,,,M,No injury / No attack,N,,
1764,1764,Unprovoked,SPAIN,,Swimming,M,FATAL,Y,,
Before 2012,0,Unprovoked,SPAIN,Canary Islands,Skin diving,,Injury required 16 stitches,N,,Canary Islands
